Johnson & Johnson Medical GmbH	Robert Koch Strasse 1, D 22851 Norderstedt, Germany	QSD5057		DE	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2015-12-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Base Metal Alloy	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Retentive and Splinting Pin (Non-Sterile)	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Intraoral Ligature and Wire Lock	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Intraosseous Fixation Screw or Wire	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Orthodontic Appliance and Accessories (Non-Sterile)	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Orthodontic Plastic Bracket	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Extraoral Orthodontic Headgear等9項。	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
SLE Limited	Twin Bridges Business Park, 232 Selsdon Road, South Croydon, Surrey, CR2 6PL United Kingdom	QSD1329	Nitric oxide administration apparatus	GB	嘉杏股份有限公司	Y	2016-06-30	
SLE Limited	Twin Bridges Business Park, 232 Selsdon Road, South Croydon, Surrey, CR2 6PL United Kingdom	QSD1329	Continuous ventilator	GB	嘉杏股份有限公司	Y	2016-06-30	
SLE Limited	Twin Bridges Business Park, 232 Selsdon Road, South Croydon, Surrey, CR2 6PL United Kingdom	QSD1329	Noncontinuous ventilator(IPPB)等3項。	GB	嘉杏股份有限公司	Y	2016-06-30	
One Lambda, Inc.	21001 Kittridge Street, Canoga Park, CA 91303 U.S.A.	QSD1349	Human leukocyte antigen typing system等乙項。	US	太暘生物科技股份有限公司	Y	2016-10-07	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Electirc Cranial Drill Motor	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Pneumatic Cranial Drill Motor	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Powered Compound Cranial Drills, Burrs, Trephines, and their Accessories	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Powered Simple Cranial Drills, Burrs, Trephines, and their Accessories	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Surgical Instrument Motors and Accessories/Attachments	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Ear, Nose, and Throat Bur	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Ear, Nose, and Throat Electric or Pneumatic Surgical Drill	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Medtronic Powered Surgical Solutions	4620 North Beach Street Fort Worth, Texas 76137, U.S.A.	QSD1381	Electrosurgical Cutting and Coagulation Device and Accessories等8項。	US	美敦力醫療產品股份有限公司	Y	2016-11-15	
Great World Co., Ltd.	Km 1954, Road 1A, Tan Khanh Ward, Tan An City, Long An Province, Vietnam	QSD1394	Intravascular administration set	VN	帥博貿易有限公司	Y	2017-01-19	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Surgical Insturment Motors and Accessories/ Attachments	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Pneumatic Cranial Drill Motor	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Smooth or Threaded Metallic Bone Fixation Fastener	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Powered Simple Cranial Drills, Burrs, Trephines, and Their Accessories	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Powered Compound Cranial Drills, Burrs, Trephines, and Their Accessories	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Electric Cranial Drill Motor	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Orthopedic Manual Surgical Instrument for Gereral Use-Bone Collector(Sterile)	US	壯生醫療器材股份有限公司	Y	2016-12-13	
The Anspach Effort, Inc.	4500 Riverside Drive, Palm Beach Gardens, Florida 33410, U.S.A.	QSD1418	Ear, Nose, and Throat Electric or Pneumatic Surgical Drill(Sterile)	US	壯生醫療器材股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Ultrasonic pulsed doppler imaging system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Ultrasonic pulsed echo imaging system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Diagnostic ultrasonic transducer	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Angiographic x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Diagnostic x-ray beam-limiting device	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Cine or spot fluorographic x-ray camera	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Non-image-intensified fluoroscopic x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Image-intensified fluoroscopic x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Stationary x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Mobile x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Photofluorographic x-ray system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Picture archiving and communication system	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Diagnostic x-ray tube housing assembly (non-sterile)	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Radiographic table (non-sterile)	JP	三光儀器股份有限公司	Y	2016-12-13	
Shimadzu Corporation, Sanjo Factory	1, Nishinokyo-Kuwabaracho Nakagyo-Ku, Kyoto, 604-8511, Japan	QSD1423	Diagnostic x-ray high voltage generator	JP	三光儀器股份有限公司	Y	2016-12-13	
Integra LifeSciences Corporation	105 Morgan Lane Plainsboro, NJ 08536, U.S.A.	QSD1433	Dura Substitute	US	美麗康國際有限公司	Y	2016-12-16	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Powered Traction Equipment	JP	信強儀器有限公司	Y	2016-12-31	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Microwave Diathermy	JP	信強儀器有限公司	Y	2016-12-31	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Infrared Lamp	JP	信強儀器有限公司	Y	2016-12-31	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Powered Heating Pad	JP	信強儀器有限公司	Y	2016-12-31	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Interferential Low Frequency Therapy Device	JP	信強儀器有限公司	Y	2016-12-31	
MINATO MEDICAL SCIENCE CO., LTD Nishiki Facility 	137, Kawanishi, Sasayama-shi, Hyogo, 669-2735, Japan 	QSD1441	Transcutaneous Electrical Nerve Stimulator for Pain Relief等6項。	JP	信強儀器有限公司	Y	2016-12-31	
Shanghai Motex Healthcare Co., Ltd.	No.369, Jiasong Zhong Road, Huaxin Town, Qingpu, 201708 Shanghai, China	QSD1444	Surgeon's Glove	CN	華新橡膠工業股份有限公司	Y	2016-12-31	
Shanghai Motex Healthcare Co., Ltd.	No.369, Jiasong Zhong Road, Huaxin Town, Qingpu, 201708 Shanghai, China	QSD1444	Patient Examination Glove等2項。	CN	華新橡膠工業股份有限公司	Y	2016-12-31	
Thoratec Corporation	6035 Stoneridge Drive, Pleasanton, CA 94588 U.S.A.	QSD1446	Ventricular Bypass(Assist) Device	US	台灣亞衛有限公司	Y	2017-01-12	
Thoratec Corporation	6035 Stoneridge Drive, Pleasanton, CA 94588 U.S.A.	QSD1446	Vascular Graft Prosthesis等2項。	US	台灣亞衛有限公司	Y	2017-01-12	
Medtronic Sofamor Danek Deggendorf GmbH	Werftstr. 17, D-94469 Deggendorf, Germany	QSD1461	Spinal Implants	DE	美敦力醫療產品股份有限公司	Y	2017-01-20	
Medtronic Sofamor Danek Deggendorf GmbH	Werftstr. 17, D-94469 Deggendorf, Germany	QSD1461	Synthetic Bone Substitutes等2項。	DE	美敦力醫療產品股份有限公司	Y	2017-01-20	
Siemens Healthcare Diagnostics Inc.	333 Coney St. East Walpole, MA 02032, USA	QSD1489	Tumor-associated antigen immunological test system	US	西門子股份有限公司	Y	2017-01-26	
FUJINON MITO CORPORATION	4112 Tono, Hitachiomiya City, Ibaraki 319-2224, Japan	QSD1504	Endoscopes and Accessories(Non-Sterile)	JP	威茂股份有限公司	Y	2015-09-27	
FUJINON MITO CORPORATION	4112 Tono, Hitachiomiya City, Ibaraki 319-2224, Japan	QSD1504	Ultrasonic Endoscopes for Medical Use	JP	威茂股份有限公司	Y	2015-09-27	
FUJINON MITO CORPORATION	4112 Tono, Hitachiomiya City, Ibaraki 319-2224, Japan	QSD1504	Convex Scan Ultrasound Video Broncho Endoscope等3項。	JP	威茂股份有限公司	Y	2015-09-27	
A.M.O. Puerto Rico Manufacturing, Inc.	Road 402 North, Km4.2, Anasco, Puerto Rico 00610, U.S.A.	QSD1506	Intraocular Lens (IOLS), 2. Intraocular Lens Guide, 3. Phacofragmentation Tubing Pcaks and Accessories, 4. Ophthalmic Laser Accessories等4項。	US	香港商眼力健亞洲有限公司台灣分公司	Y	2016-09-15	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	High pressure liquid chromatography system for clinical use	US	佑康股份有限公司	Y	2015-07-27	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	Calibrator	US	佑康股份有限公司	Y	2015-07-27	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	Discrete photometric chemistry analyzer for clinical use	US	佑康股份有限公司	Y	2015-07-27	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	Glycosylated hemoglobin assay	US	佑康股份有限公司	Y	2015-07-27	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	Quality control material (assayed and unassayed)	US	佑康股份有限公司	Y	2015-07-27	
Trinity Biotech (Primus Corporation dba Trinity Biotech)	4231 E.75th Terrace, Kansas City, MO 64132 U.S.A.	QSD1512	Abnormal hemoglobin assay等6項。	US	佑康股份有限公司	Y	2015-07-27	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Resin tooth bonding agent	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Dental cement	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Coating material for resin fillings	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Tooth shade resin material	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Denture relining, repairing, or rebasing resin	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Temporary crown and bridge resin	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Porcelain tooth	JP	鼎興貿易股份有限公司	Y	2017-02-16	
Shofu Inc.	11 Kamitakamatsu-Cho, Fukuine Higashiyama-Ku, Kyoto, 6050983, Japan	QSD1516	Dental diamond instrument(non-sterile)	JP	鼎興貿易股份有限公司	Y	2017-02-16	
JMS Singapore Pte. Ltd.	440 Ang Mo Kio Industrial Park 1 ,Singapore 569620, Singapore	QSD1526	Blood bags	SG	佳醫健康事業股份有限公司	Y	2017-02-24	
JMS Singapore Pte. Ltd.	440 Ang Mo Kio Industrial Park 1 ,Singapore 569620, Singapore	QSD1526	Transfusion and infusion sets	SG	佳醫健康事業股份有限公司	Y	2017-02-24	
JMS Singapore Pte. Ltd.	440 Ang Mo Kio Industrial Park 1 ,Singapore 569620, Singapore	QSD1526	A.V. Fistula sets	SG	佳醫健康事業股份有限公司	Y	2017-02-24	
JMS Singapore Pte. Ltd.	440 Ang Mo Kio Industrial Park 1 ,Singapore 569620, Singapore	QSD1526	Peritoneal dialysis administration sets	SG	佳醫健康事業股份有限公司	Y	2017-02-24	
JMS Singapore Pte. Ltd.	440 Ang Mo Kio Industrial Park 1 ,Singapore 569620, Singapore	QSD1526	Blood tubing set (hemodialysis)	SG	佳醫健康事業股份有限公司	Y	2017-02-24	
Ulrich GmbH & Co. KG	Buchbrunnenweg 12, 89081 Ulm, Germany	QSD1534	Angiographic Injector and Syringe	DE	百世生醫科技有限公司	Y	2017-03-04	
Ulrich GmbH & Co. KG	Buchbrunnenweg 12, 89081 Ulm, Germany	QSD1534	Intravascular Administration Set	DE	百世生醫科技有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Absorbent Tipped Applicato	CN	鈺弘國際有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Medical Absorbent Fiber	CN	鈺弘國際有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Gauze Pad (Sterile/Non-Sterile)	CN	鈺弘國際有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Tongue Depressor	CN	鈺弘國際有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Surgical Dressing Kits: Drape, Boot, Glove, Face Mask, Cap, Isolation Gown	CN	鈺弘國際有限公司	Y	2017-03-04	
Good Vista Medical & Health Products Co., Ltd.	No.1 West Bldg., Yinghu Industrial Gardon, Anqing Development Zone, Anqing, Anhui, China	QSD1535	Dialysis Sets: Compartments Trays, Forceps, Gauze Swabs, Cotton Balls, Drapes	CN	鈺弘國際有限公司	Y	2017-03-04	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Immunofluorometer equipment	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Tumor-associated antigen immunological test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Calibrator	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Quality control material (assayed and unassayed)	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Thyroid autoantibody immunological test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	C-reactive protein immunological test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Human chorionic gonadotropin (HCG) test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Ferritin immunological test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Alkaline phosphatase or isoenzymes test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Calcitonin test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Prolactin (lactogen) test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Immunoglobulin (light chain specific) immunological test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	B-type natriuretic peptide test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Sodium test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Corticoids test system	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Fluorometer for clinical use	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Fast Screen pre I plus	DE	三東儀器股份有限公司	Y	2016-08-28	
B.R.A.H.M.S GmbH	Neuendorfstra βe 25 D-16761 Hennigsdorf, Germany	QSD1544	Human placental lactogen test system等18項。	DE	三東儀器股份有限公司	Y	2016-08-28	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Prothrombin time test	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Partial thromboplastin time tests	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Fibrinogen determination system	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Thrombin time test	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Fibrinogen/fibrin degradation products assay	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Factor deficiency test	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Antithrombin III assay	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Heparin assay	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Multipurpose system for In Vitro coagulation studies	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Russell viper venom reagent	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Calibrator	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Siemens Healthcare Diagnostics Products GmbH	Emil-von-Behring-Str. 76, 35041, Marburg, Germany	QSD1549	Quality control material (assayed and unassayed)等12項。	DE	台灣希森美康股份有限公司	Y	2017-03-22	
Nidek Medical Products, Inc.	3949 Valley East Industrial Drive, Birmingham, AL 35217, U.S.A.	QSD1555	Oxygen Generator等乙項。	US	天慶醫療儀器股份有限公司	Y	2017-03-25	
Bausch & Lomb Incorporated	21 Park Place Blvd. North, Clearwater, FL 33759, USA.	QSD1564	Intraocular Lens and Accessories	US	博士倫股份有限公司	Y	2017-03-23	
Bausch & Lomb Incorporated	21 Park Place Blvd. North, Clearwater, FL 33759, USA.	QSD1564	Intraocular Lens Guide	US	博士倫股份有限公司	Y	2017-03-23	
AirSep Corporation	401 Creekside Drive, Buffalo, NY 14228, U.S.A.	QSD1581	Portable Oxygen Generator	US	貝斯美德有限公司	Y	2017-04-06	
Beckman Coulter Ireland Inc.	Mervue Business Park, Galway, Ireland	QSD1584	Alanine Amino Transferase (ALT/SGPT) Test System	IE	美商貝克曼庫爾特有限公司台灣分公司	Y	2017-04-08	
